rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
255,Morehead St.,OVC,13-20,-7.71,102.2,211,109.9,283,67,200,0.06,45,-0.3,154,104.5,137,104.8,187,5.12,44,,2019,Morehead St
256,Fordham,A10,12-20,-7.84,96.5,303,104.3,169,65,302,-0.075,329,-4.33,259,101,299,105.3,202,-11.59,351,,2019,Fordham
257,Chattanooga,SC,12-20,-7.85,101.5,230,109.3,268,66,257,0.025,114,1.08,119,105.4,99,104.3,172,-1.76,220,,2019,Chattanooga
258,UMass Lowell,AE,15-17,-7.85,104.3,173,112.2,316,69.7,72,-0.026,246,-6.27,293,99.9,324,106.2,236,-4.1,287,,2019,UMass Lowell
259,Cal St. Northridge,BW,13-20,-7.97,104.4,169,112.4,320,70.4,50,-0.013,221,-4.78,274,101.3,285,106.1,229,-3.9,280,,2019,CS Northridge
260,Delaware,CAA,17-16,-8.07,104.7,162,112.8,325,63.1,340,0.08,25,-4.36,260,103.5,181,107.9,321,-5.97,324,,2019,Delaware
261,St. Francis PA,NEC,18-14,-8.11,105.1,153,113.3,330,68,142,0.088,16,-7.77,328,100.6,308,108.4,336,6.88,22,,2019,St Francis PA
262,LIU Brooklyn,NEC,16-16,-8.18,98.1,285,106.3,217,70.7,43,-0.013,222,-8.65,339,99.5,328,108.2,330,-5.64,322,,2019,LIU Brooklyn
263,Youngstown St.,Horz,12-20,-8.3,103.9,181,112.2,317,66.9,206,-0.004,192,-1.83,195,103.6,176,105.4,208,0.8,144,,2019,Youngstown St
264,Norfolk St.,MEAC,21-13,-8.4,97.5,292,105.9,208,69.1,92,0.05,67,-11.01,351,97,351,108.1,326,1.61,116,,2019,Norfolk St
265,Siena,MAAC,17-16,-8.41,100.5,249,108.9,262,60.5,352,0.06,46,-7.18,317,100.3,315,107.5,304,-1.71,218,,2019,Siena
266,Loyola MD,Pat,11-21,-8.72,101.4,231,110.2,289,68.4,124,-0.028,250,-3.39,234,103.5,182,106.9,272,-1.38,208,,2019,Loyola MD
267,Robert Morris,NEC,17-16,-8.76,94.8,323,103.5,153,65.9,259,0.035,92,-7.86,333,101,300,108.8,347,-1.11,201,,2019,Robert Morris
268,North Dakota,Sum,12-18,-8.78,97.3,295,106.1,213,69.5,78,-0.046,288,-2.99,223,104.8,123,107.8,316,2.18,104,,2019,North Dakota
269,East Carolina,Amer,10-21,-9.02,97.9,289,106.9,231,67.9,144,-0.006,197,0.27,136,103.2,199,102.9,104,-11.83,352,,2019,E Kentucky
270,UNC Wilmington,CAA,10-23,-9.04,105.3,151,114.3,338,69.1,91,-0.034,265,-1.64,190,105.4,98,107,276,2.18,105,,2019,UNC Wilmington
271,Western Carolina,SC,7-25,-9.22,101.6,224,110.9,302,69.4,84,-0.051,296,2.8,94,106.7,68,103.9,151,5.07,45,,2019,Western Carolina
272,Grambling St.,SWAC,17-16,-9.42,94.6,324,104.1,166,69.6,74,-0.029,254,-10.2,348,97.7,348,107.9,320,4.15,60,,2019,Grambling St
273,St. Francis NY,NEC,17-15,-9.49,95.7,316,105.2,195,68.3,132,0.052,62,-8.17,335,100.5,310,108.7,344,-3.49,268,,2019,St Francis NY
274,Marist,MAAC,12-19,-9.51,100,255,109.5,273,64.3,323,-0.054,303,-7.13,314,100,321,107.2,288,-2.59,241,,2019,Marist
275,Sacramento St.,BSky,15-16,-9.55,96.2,310,105.7,201,68,143,-0.011,211,-7.52,324,101.5,280,109.1,350,-2.11,229,,2019,Sacramento St
276,Houston Baptist,Slnd,12-18,-9.62,102.8,201,112.5,321,73.7,10,-0.038,271,-5.26,282,101.1,295,106.4,242,7.03,19,,2019,Houston Baptist
277,Albany,AE,12-20,-9.85,98.2,283,108,250,65.7,268,-0.066,319,-6.73,302,100.1,320,106.8,264,-5.12,311,,2019,SUNY Albany
278,James Madison,CAA,14-19,-9.87,100.9,247,110.8,300,65.1,301,0.056,53,-3.66,245,104.7,126,108.4,338,-3.6,271,,2019,James Madison
279,Canisius,MAAC,15-17,-9.87,101.5,229,111.3,309,67.5,167,0.115,4,-5.22,280,100.6,306,105.9,217,3.98,67,,2019,Canisius
280,Navy,Pat,12-19,-9.9,97.1,297,107,232,66.8,212,0.061,39,-2.69,217,103.2,197,105.9,218,-0.83,190,,2019,Navy
281,Southern Utah,BSky,16-16,-9.91,96.5,305,106.4,218,70.9,35,0.048,68,-6.84,306,102.2,247,109.1,349,1.4,123,,2019,Southern Univ Utah
282,Texas A&M; Corpus Chris,Slnd,14-18,-9.94,94.5,327,104.4,172,64.7,315,-0.011,213,-5.56,283,101.2,292,106.7,260,4.09,63,,2019,Texas A&M; Corpus Chris
283,VMI,SC,11-21,-10.04,102.2,210,112.3,318,71.4,28,0.018,136,1.61,105,105.9,81,104.3,173,-0.86,192,,2019,VMI
284,Cleveland St.,Horz,10-21,-10.05,101.5,227,111.6,310,68.9,101,-0.041,279,-1.98,203,104.7,129,106.7,255,0.86,141,,2019,Cleveland St
285,North Alabama,ASun,10-22,-10.17,95,320,105.1,192,68.3,131,0.006,166,1.32,114,104.5,139,103.1,114,7.59,14,,2019,North Alabama
286,Longwood,BSth,15-17,-10.19,96.3,307,106.5,222,66.9,203,-0.002,187,-6.35,297,102,262,108.4,337,-9.6,345,,2019,Longwood
287,Portland St.,BSky,16-16,-10.38,101.5,228,111.9,314,68.9,103,0.046,71,-7.34,321,101.2,291,108.5,340,-1.55,213,,2019,Portland St
288,Towson,CAA,10-22,-10.48,100.1,254,110.5,297,63.4,336,-0.049,294,-4.16,253,103.8,172,107.9,323,-4.03,286,,2019,Towson
